doc_id,text
1,"2025 yılına kadar 3,5 milyar kişinin su kıtlığıyla karşı karşıya kalabileceği tahmin ediliyor

Dünyada 2,1 milyar kişi temiz sudan yoksun https://t.co/wi3jmlTXIP https://t.co/gKAEiCaGKr"
2,"#Türkiye, #İran'da 1 numaralı turizm pazarı haline geldi https://t.co/vYffJGx3mY https://t.co/rLv3tofYwE"
3,#İdlib'e hava saldırısı: 16'sı öğrenci 20 kişi hayatını kaybetti https://t.co/ci8CuskUJP https://t.co/42FxSCkvYI
4,"• Yer altında depolanmış tonlarca silah ve mühimmat
• Silahların büyük bölümü Türkiye'nin NATO müttefiki ABD menşeli

Terör örgütü YPG/PKK'ya verilen silahlar Afrin'de ortaya çıktı https://t.co/L4mmJrVyld"
5,"15 yılda yapılan 125,8 milyar liralık yatırımla 7 bin 200 tesis hizmete sunuldu

Türkiye'nin su kaynaklarına 125,8 milyar liralık yatırım https://t.co/K6tlEdn1pb https://t.co/bFA7D1ejfB"
6,"Emine Erdoğan, Canan Karatay'ı kabul etti https://t.co/mb1993s5nE https://t.co/Iah35HK9XK"
7,"❝Down sendromlu oğlumun başarıları beni hayata döndürdü❞

Geçirdikleri trafik kazasında eşini ve kızını kaybettikten sonra zor günler geçiren Denizlili anne, down sendromlu milli sporcu oğlunun yüzme sporundaki başarılarıyla gurur duyuyor https://t.co/MBCbJTIFQz https://t.co/9SJrJFVFCp"
8,"15 Temmuz Gazisi Arslan: Askerlere 'yapmayın, etmeyin' dedik. Askerler havaya ateş ettiler, biz de 'havaya sıkmakla bu milleti korkutamazsınız' dedik. Askerler daha sonra üzerimize sıktılar https://t.co/OB6XiFwgdN https://t.co/ds31yI2ftG"
9,AK Parti Ankara Milletvekili Arslan: Engellilere karşı hassasiyet gittikçe artıyor https://t.co/kR8dIbcm1h https://t.co/4WoUCp9IT4
10,"Down sendromlu genç işiyle hayata bağlandı

""İşim Var Benim"" projesi kapsamında bir konfeksiyon firmasında çalışmaya başlayan down sendromlu Pultaş, çalışma azmi ve disipliniyle herkese örnek oluyor https://t.co/2bWCmcxgEG https://t.co/YLeOXCvVSi"
11,60 saniyede bugün https://t.co/rtDEBN9M5J https://t.co/KwEGWTbEov
12,#Idlib'e hava saldırısı: 16'sı öğrenci 20 ölü https://t.co/t6WVGnJg2w https://t.co/4f1Nv2HPgb
13,ABD'nin cari açığı yüzde 26 arttı https://t.co/3HsfVbY2ZS https://t.co/dIEqnS44Xl
14,"Afrin, kültürel miras ve kara propaganda

@cengiztomar, #Afrin operasyonunun başarısı üzerine Avrupa basını ve sosyal medyadaki kara propagandayı yazdı https://t.co/fnWsnK0YBi https://t.co/jlK7R9r6SU"
15,Altının gram fiyatı tüm zamanların zirvesini gördü https://t.co/tD8NF6lyjq https://t.co/PPn4tekYzs
16,Başbakan Yıldırım: 16 yılda 4 milyar 39 milyon fidanı toprakla buluşturduk https://t.co/OznYkbfyz7 https://t.co/3uMLlRWe39
17,"Zuckerberg'in serveti yaklaşık 7 milyar dolar azaldı

Facebook'un veri skandalı regülatörleri harekete geçirdi https://t.co/ZY9F2VDJh8 https://t.co/rKrCah84ST"
18,"'Artı 1 fark'la ailesinin 'mucize'si oldu

Aile ve Sosyal Politikalar Bakanlığı Ankara İl Müdürü Bestami Erkoç, 29 aylık down sendromlu kızı Reyyan, koruyucu ailesi olduğu 19 aylık kızı ve iki oğluyla büyük bir aile olmanın mutluluğunu yaşıyor https://t.co/FcrEN28UGV https://t.co/ED7kxaVgKS"
19,CHP Sözcüsü Tezcan: Siyasetin görevi güzel bir gelecek yaratmaktır https://t.co/25hIPFJI2N https://t.co/ugDtNjbtPx
20,Cumhurbaşkanı Erdoğan: Türkiye sınırları boyunca terörist tehdidi ortadan kalkana kadar durmayacak https://t.co/ad92NUEai5 https://t.co/dX0dBIW5Bn
21,"❝Türkiye'mizi kurtarmış bir liderimiz var. Allah onu başımızdan eksik etmesin. O Kur'an okurken biz televizyon karşısında ağlıyoruz❞

Üçüz bebeklerine Recep, Tayyip, Erdoğan ismini verdiler https://t.co/iuUEHQsBtu https://t.co/6Z05bz6Mlw"
22,"❝2 kez Büyük Ağrı, 16 kez de Erciyes Dağı'nda zirve yaptım❞

Engelli dağcının hedefi Everest https://t.co/O0nkJ04SC5 https://t.co/PMBJdSkcJo"
23,RT @AACanli: Suriye'nin İdlib ilinde savaş uçaklarının okul çıkışı öğrencileri hedef alan hava saldırısında 16'sı öğrenci toplam 20 sivil h…
24,"Mehmetçik zorlu arazi şartlarında terörist takibinde

TSK'nın, Irak'ın kuzeyindeki terör kamplarına yönelik operasyonları zorlu arazi koşullarına rağmen başarıyla sürüyor https://t.co/wI0IkSLaKR https://t.co/8U1upcIl2d"
25,"Sağlık Bakanlığı: Deniz Baykal'ın genel durumu iyi, bilinci açık durumda https://t.co/pkpyzpL9ow https://t.co/8abOl7HAY9"
26,"❝10 dernek 8 bin 842 su kuyusu açtı❞

Türkiye dünya ülkelerine 'can suyu' taşıyor https://t.co/RGfPVMal1R https://t.co/DhTtO0NJ6r"
27,"Yarın Regaip Kandili

İslam aleminde mübarek kabul edilen ve recep, şaban, ramazan aylarını kapsayan ""üç ayların"" habercisi Regaip Kandili, yarın idrak edilecek https://t.co/Vmfq7eILMw https://t.co/XaxCrB3z37"
28,Dışişleri Bakanı Çavuşoğlu: ABD ile anlaşma değil anlayış birliğine vardık https://t.co/c8u4im72BB https://t.co/ioA4uioTSP
29,"'+1' başarıya engel değil

Down sendromlu bireyler, erken eğitim programları, fizyoterapi, dil terapisi, alternatif terapiler ve oyun grupları sayesinde artık lise hatta üniversite bitirebiliyor https://t.co/pUxJjONMYG

#DownSendromuFarkındalıkGünü https://t.co/xeTu7ViYgo"
30,"CHP Genel Başkanı Kılıçdaroğlu, Aşık Veysel'i andı https://t.co/Aj7ul6c4QM https://t.co/yMHHDfznif"
31,"Türk komandosu Afrin'de destan yazıyor

#ZeytinDalıHarekatı kapsamında Afrin'e sevk edilen ve terör örgütlerinin korkulu rüyası olan komandolar, bölgedeki savaş mağdurlarının umudu oldu https://t.co/u4ddWybgCv https://t.co/4r1xpwM90b"
32,"RT @AACanli: #CumhurbaşkanıErdoğan: Neymiş, #Münbiç'ten çıkmayacaklarmış. Bir defa sizin bırakınız oradan çıkmamayı, orada bulunmaya hakkın…"
33,"Okul sıralarıyla 92 yaşında buluştu

Okuma yazma seferberliği kapsamında açılan kursa katılan 92 yaşındaki Güllü Saraç, yıllar sonra okul sıralarıyla buluşmanın mutluluğunu yaşıyor https://t.co/78igFSSxY6 https://t.co/x6A8EujC7n"
34,"RT @AACanli: #CumhurbaşkanıErdoğan: #Afrin şehir merkezi kontrol altına alındı. Hemen süratle okulları bakıma aldık. Hastaneleri, hepsini b…"
35,"PYD/PKK yanlıları Çeçenistan savaşından #Afrin yalanı üretti

#ZeytinDalıHarekatı'nı karalamak isteyen terör örgütü PYD/PKK destekçileri yalanlarına devam ediyor https://t.co/1wSe1jV8xC https://t.co/mrEKreuIzR"
36,"RT @AACanli: Cumhurbaşkanı Erdoğan, Zeytin Dalı Harekatı'nın başlangıcından bu yana 3698 teröristin etkisiz hale getirildiğini açıkladı."
37,"15 Temmuz Şehidi Münir Alkan'ın eşi Aylin Alkan: O gece 'uyudum' diyen, 'havaya sıktım, ateş etmedim' diyen asker üniforması giyip 'korktum' ya da 'ağladım' diyen herkesten şikayetçiyim https://t.co/Ely2yXjQjD https://t.co/x158gqYVO8"
38,"RT @AACanli: #CumhurbaşkanıErdoğan: Bugün burada, ""Daha Yeşil Bir Türkiye'yi Birlikte İnşa Edelim"" sloganıyla yeni bir hamle başlatıyoruz.…"
39,"❝Biyolojik annesi değilim ama yürekten annesiyim❞

Üç erkek çocukları olan Akbaşlı ailesi, kız çocuk hasretlerini 25 günlük iken aldıkları bir bebeğe koruyucu aile olarak giderdi https://t.co/n8Z3NbneVj https://t.co/HRiTyQVG8N"
40,"Teröristlere ait çok sayıda füze ve el yapımı patlayıcı ele geçirildi

ÖSO, #Afrin'de YPG/PKK cephanesi buldu https://t.co/AIZlqhf4BR https://t.co/DDoXcrW1jV"
41,Fetullahçı Terör Örgütü üyesi elektrik mühendisi İmralı'da PKK elebaşı Öcalan'la görüşmüş https://t.co/pWYYb0yu66 https://t.co/pEtGCrq1Iu
42,"RT @AACanli: #Canlı: #CumhurbaşkanıErdoğan, ""Milletimizle Birlikte Daha Yeşil Türkiye Buluşması""nda konuşuyor https://t.co/bNL9lqarg2"
