doc_id,token_id,text,c_id,c_name
1,1,2025,5,Date
1,2,yılına,5,Date
1,3,kadar,1,Trash
1,4,3,1,Trash
1,5,5,1,Trash
1,6,milyar,1,Trash
1,7,kişinin,1,Trash
1,8,su,1,Trash
1,9,kıtlığıyla,1,Trash
1,10,karşı,1,Trash
1,11,karşıya,1,Trash
1,12,kalabileceği,2,Event/Activity
1,13,tahmin,2,Event/Activity
1,14,ediliyor,2,Event/Activity
1,15,Dünyada,9,Place
1,16,2,1,Trash
1,17,1,1,Trash
1,18,milyar,1,Trash
1,19,kişi,1,Trash
1,20,temiz,1,Trash
1,21,sudan,1,Trash
1,22,yoksun,1,Trash
1,23,wi3jmlTXIP,1,Trash
1,24,gKAEiCaGKr,1,Trash
2,1,Türkiye,9,Place
2,2,İran,9,Place
2,3,da,1,Trash
2,4,1,1,Trash
2,5,numaralı,1,Trash
2,6,turizm,1,Trash
2,7,pazarı,1,Trash
2,8,haline,1,Trash
2,9,geldi,2,Event/Activity
2,10,vYffJGx3mY,1,Trash
2,11,rLv3tofYwE,1,Trash
3,1,İdlib,9,Place
3,2,hava,1,Trash
3,3,saldırısı,1,Trash
3,4,16,1,Trash
3,5,sı,1,Trash
3,6,öğrenci,1,Trash
3,7,20,1,Trash
3,8,kişi,1,Trash
3,9,hayatını,1,Trash
3,10,kaybetti,2,Event/Activity
3,11,ci8CuskUJP,1,Trash
3,12,42FxSCkvYI,1,Trash
4,1,Yer,9,Place
4,2,altında,9,Place
4,3,depolanmış,2,Event/Activity
4,4,tonlarca,1,Trash
4,5,silah,1,Trash
4,6,mühimmat,1,Trash
4,7,Silahların,1,Trash
4,8,büyük,9,Place
4,9,bölümü,1,Trash
4,10,Türkiye,4,Address
4,11,nin,1,Trash
4,12,NATO,6,Company
4,13,müttefiki,1,Trash
4,14,ABD,4,Address
4,15,menşeli,1,Trash
4,16,Terör,2,Event/Activity
4,17,örgütü,1,Trash
4,18,YPG,3,Name
4,19,PKK,3,Name
4,20,ya,1,Trash
4,21,verilen,2,Event/Activity
4,22,silahlar,1,Trash
4,23,Afrin,9,Place
4,24,de,1,Trash
4,25,ortaya,1,Trash
4,26,çıktı,2,Event/Activity
4,27,L4mmJrVyld,1,Trash
5,1,15,5,Date
5,2,yılda,5,Date
5,3,yapılan,2,Event/Activity
5,4,125,1,Trash
5,5,8,1,Trash
5,6,milyar,1,Trash
5,7,liralık,1,Trash
5,8,yatırımla,1,Trash
5,9,7,1,Trash
5,10,bin,1,Trash
5,11,200,1,Trash
5,12,tesis,1,Trash
5,13,hizmete,1,Trash
5,14,sunuldu,2,Event/Activity
5,15,Türkiye,4,Address
5,16,nin,1,Trash
5,17,su,1,Trash
5,18,kaynaklarına,1,Trash
5,19,125,1,Trash
5,20,8,1,Trash
5,21,milyar,1,Trash
5,22,liralık,1,Trash
5,23,yatırım,2,Event/Activity
5,24,K6tlEdn1pb,1,Trash
5,25,bFA7D1ejfB,1,Trash
6,1,Emine,3,Name
6,2,Erdoğan,3,Name
6,3,Canan,3,Name
6,4,Karatay,3,Name
6,5,ı,1,Trash
6,6,kabul,2,Event/Activity
6,7,etti,2,Event/Activity
6,8,mb1993s5nE,1,Trash
6,9,Iah35HK9XK,1,Trash
7,1,Down,1,Trash
7,2,sendromlu,1,Trash
7,3,oğlumun,1,Trash
7,4,başarıları,1,Trash
7,5,beni,1,Trash
7,6,hayata,1,Trash
7,7,döndürdü,2,Event/Activity
7,8,Geçirdikleri,2,Event/Activity
7,9,trafik,1,Trash
7,10,kazasında,1,Trash
7,11,eşini,1,Trash
7,12,kızını,1,Trash
7,13,kaybettikten,4,Address
7,14,sonra,1,Trash
7,15,zor,1,Trash
7,16,günler,1,Trash
7,17,geçiren,2,Event/Activity
7,18,Denizlili,4,Address
7,19,anne,1,Trash
7,20,down,1,Trash
7,21,sendromlu,1,Trash
7,22,milli,1,Trash
7,23,sporcu,1,Trash
7,24,oğlunun,1,Trash
7,25,yüzme,2,Event/Activity
7,26,sporundaki,1,Trash
7,27,başarılarıyla,1,Trash
7,28,gurur,2,Event/Activity
7,29,duyuyor,2,Event/Activity
7,30,MBCbJTIFQz,1,Trash
7,31,9SJrJFVFCp,1,Trash
8,1,15,5,Date
8,2,Temmuz,5,Date
8,3,Gazisi,1,Trash
8,4,Arslan,3,Name
8,5,Askerlere,8,Job
8,6,yapmayın,2,Event/Activity
8,7,etmeyin,2,Event/Activity
8,8,dedik,2,Event/Activity
8,9,Askerler,8,Job
8,10,havaya,1,Trash
8,11,ateş,1,Trash
8,12,ettiler,2,Event/Activity
8,13,biz,1,Trash
8,14,de,1,Trash
8,15,havaya,1,Trash
