doc_id,token_id,text,c_id,c_name
1,1,2025,5,Date
1,2,yılına,5,Date
1,12,kalabileceği,2,Event/Activity
1,13,tahmin,2,Event/Activity
1,14,ediliyor,2,Event/Activity
1,15,Dünyada,9,Place
2,1,Türkiye,9,Place
2,2,İran,9,Place
2,9,geldi,2,Event/Activity
3,1,İdlib,9,Place
3,10,kaybetti,2,Event/Activity
4,1,Yer,9,Place
4,2,altında,9,Place
4,3,depolanmış,2,Event/Activity
4,8,büyük,9,Place
4,10,Türkiye,4,Address
4,12,NATO,6,Company
4,14,ABD,4,Address
4,16,Terör,2,Event/Activity
4,18,YPG,3,Name
4,19,PKK,3,Name
4,21,verilen,2,Event/Activity
4,23,Afrin,9,Place
4,26,çıktı,2,Event/Activity
5,1,15,5,Date
5,2,yılda,5,Date
5,3,yapılan,2,Event/Activity
5,14,sunuldu,2,Event/Activity
5,15,Türkiye,4,Address
5,23,yatırım,2,Event/Activity
6,1,Emine,3,Name
6,2,Erdoğan,3,Name
6,3,Canan,3,Name
6,4,Karatay,3,Name
6,6,kabul,2,Event/Activity
6,7,etti,2,Event/Activity
7,7,döndürdü,2,Event/Activity
7,8,Geçirdikleri,2,Event/Activity
7,13,kaybettikten,4,Address
7,17,geçiren,2,Event/Activity
7,18,Denizlili,4,Address
7,25,yüzme,2,Event/Activity
7,28,gurur,2,Event/Activity
7,29,duyuyor,2,Event/Activity
8,1,15,5,Date
8,2,Temmuz,5,Date
8,4,Arslan,3,Name
8,5,Askerlere,8,Job
8,6,yapmayın,2,Event/Activity
8,7,etmeyin,2,Event/Activity
8,8,dedik,2,Event/Activity
8,9,Askerler,8,Job
8,12,ettiler,2,Event/Activity
8,16,sıkmakla,2,Event/Activity
8,19,korkutamazsınız,2,Event/Activity
8,20,dedik,2,Event/Activity
8,21,Askerler,8,Job
8,25,sıktılar,2,Event/Activity
9,1,AK,6,Company
9,2,Parti,6,Company
9,3,Ankara,4,Address
9,4,Milletvekili,8,Job
9,5,Arslan,3,Name
9,10,artıyor,2,Event/Activity
10,6,bağlandı,2,Event/Activity
10,13,konfeksiyon,6,Company
10,14,firmasında,6,Company
10,15,çalışmaya,2,Event/Activity
10,19,Pultaş,3,Name
10,20,çalışma,2,Event/Activity
10,25,oluyor,2,Event/Activity
11,3,bugün,5,Date
12,1,Idlib,4,Address
13,1,ABD,4,Address
14,1,Afrin,4,Address
14,6,cengiztomar,11,ID
14,7,Afrin,4,Address
14,11,Avrupa,9,Place
14,16,propagandayı,2,Event/Activity
14,17,yazdı,2,Event/Activity
15,7,gördü,2,Event/Activity
16,1,Başbakan,8,Job
16,2,Yıldırım,3,Name
16,4,yılda,5,Date
16,11,buluşturduk,2,Event/Activity
17,1,Zuckerberg,3,Name
17,7,azaldı,2,Event/Activity
17,8,Facebook,6,Company
17,13,harekete,2,Event/Activity
17,14,geçirdi,2,Event/Activity
18,9,Aile,6,Company
18,10,Sosyal,6,Company
18,11,Politikalar,6,Company
18,12,Bakanlığı,6,Company
18,13,Ankara,8,Job
18,14,İl,8,Job
18,15,Müdürü,8,Job
18,16,Bestami,3,Name
18,17,Erkoç,3,Name
18,18,29,5,Date
18,23,Reyyan,3,Name
18,26,olduğu,2,Event/Activity
18,27,19,10,Contact
18,37,yaşıyor,2,Event/Activity
19,1,CHP,6,Company
19,2,Sözcüsü,8,Job
19,3,Tezcan,3,Name
19,8,gelecek,5,Date
19,9,yaratmaktır,2,Event/Activity
20,1,Cumhurbaşkanı,8,Job
20,2,Erdoğan,3,Name
20,3,Türkiye,4,Address
20,11,durmayacak,2,Event/Activity
21,1,Türkiye,4,Address
21,3,kurtarmış,2,Event/Activity
21,6,var,2,Event/Activity
21,7,Allah,3,Name
21,10,eksik,2,Event/Activity
21,11,etmesin,2,Event/Activity
21,15,okurken,2,Event/Activity
21,19,ağlıyoruz,2,Event/Activity
21,22,Recep,3,Name
21,23,Tayyip,3,Name
21,24,Erdoğan,3,Name
21,25,ismini,2,Event/Activity
21,26,verdiler,2,Event/Activity
22,3,Büyük,9,Place
22,4,Ağrı,9,Place
22,8,Erciyes,9,Place
22,9,Dağı,9,Place
22,11,zirve,2,Event/Activity
22,12,yaptım,2,Event/Activity
22,16,Everest,9,Place
23,1,AACanli,11,ID
23,2,Suriye,4,Address
23,4,İdlib,4,Address
24,1,Mehmetçik,6,Company
24,7,TSK,6,Company
24,9,Irak,4,Address
24,21,sürüyor,2,Event/Activity
25,1,Sağlık,6,Company
25,2,Bakanlığı,6,Company
25,3,Deniz,3,Name
25,4,Baykal,3,Name
25,9,bilinci,2,Event/Activity
25,10,açık,2,Event/Activity
26,8,açtı,2,Event/Activity
