doc_id,token_id,token_text,start_capital,all_capital,capital_ratio,length,vowel_ratio,number_of_vowels,numeric_charecter,numeric_ratio,number_of_nonAlphanumeric,nonAlphanumericRatio,previous_word_text,prev_start_capital,prev_all_capital,prev_capital_ratio,prev_length,prev_vowel_ratio,prev_number_of_vowels,prev_numeric_charecter,prev_numeric_ratio,prev_number_of_nonAlphanumeric,prev_nonAlphanumericRatio,next_word_text,next_start_capital,next_all_capital,next_capital_ratio,next_length,next_vowel_ratio,next_number_of_vowels,next_numeric_charecter,next_numeric_ratio,next_number_of_nonAlphanumeric,next_nonAlphanumericRatio
1,6,Uruguay,1,0,0.14285714285714285,7,0.75,4.0,0.0,0.0,0.0,0.0,videoda,0,0,0.0,7,0.75,4.0,0.0,0.0,0.0,0.0,da,0,0,0.0,2,1.0,1.0,0.0,0.0,0.0,0.0
1,8,Ferrari,1,0,0.14285714285714285,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,da,0,0,0.0,2,1.0,1.0,0.0,0.0,0.0,0.0,siyle,0,0,0.0,5,1.5,2.0,0.0,0.0,0.0,0.0
1,16,CEO,1,1,1.0,3,0.5,2.0,0.0,0.0,0.0,0.0,firari,0,0,0.0,6,1.0,3.0,0.0,0.0,0.0,0.0,su,0,0,0.0,2,1.0,1.0,0.0,0.0,0.0,0.0
1,18,Mehmet,1,0,0.16666666666666666,6,2.0,2.0,0.0,0.0,0.0,0.0,su,0,0,0.0,2,1.0,1.0,0.0,0.0,0.0,0.0,Aydýn,1,0,0.2,5,1.5,2.0,0.0,0.0,0.0,0.0
1,19,Aydýn,1,0,0.2,5,1.5,2.0,0.0,0.0,0.0,0.0,Mehmet,1,0,0.16666666666666666,6,2.0,2.0,0.0,0.0,0.0,0.0,olduðu,0,0,0.0,6,1.0,3.0,0.0,0.0,0.0,0.0
1,21,iddia,0,0,0.0,5,0.6666666666666666,3.0,0.0,0.0,0.0,0.0,olduðu,0,0,0.0,6,1.0,3.0,0.0,0.0,0.0,0.0,ediliyor,0,0,0.0,8,1.0,4.0,0.0,0.0,0.0,0.0
2,1,Çanakkale,1,0,0.1111111111111111,9,1.25,4.0,0.0,0.0,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,geçilmez,0,0,0.0,8,1.6666666666666667,3.0,0.0,0.0,0.0,0.0
2,3,ÇanakkaleZaferi,1,0,0.13333333333333333,15,1.1428571428571428,7.0,0.0,0.0,0.0,0.0,geçilmez,0,0,0.0,8,1.6666666666666667,3.0,0.0,0.0,0.0,0.0,7VZSzRAffq,0,0,0.5,10,8.0,1.0,1.0,0.1,0.0,0.0
3,1,18,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0
3,2,03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,18,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,1850,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0
