token_text,start_capital,all_capital,capital_ratio,length,vowel_ratio,number_of_vowels,numeric_charecter,numeric_ratio,number_of_nonAlphanumeric,nonAlphanumericRatio,previous_word_text,prev_start_capital,prev_all_capital,prev_capital_ratio,prev_length,prev_vowel_ratio,prev_number_of_vowels,prev_numeric_charecter,prev_numeric_ratio,prev_number_of_nonAlphanumeric,prev_nonAlphanumericRatio,next_word_text,next_start_capital,next_all_capital,next_capital_ratio,next_length,next_vowel_ratio,next_number_of_vowels,next_numeric_charecter,next_numeric_ratio,next_number_of_nonAlphanumeric,next_nonAlphanumericRatio,class
Uruguay,1,0,0.14285714285714285,7,0.75,4.0,0.0,0.0,0.0,0.0,videoda,0,0,0.0,7,0.75,4.0,0.0,0.0,0.0,0.0,da,0,0,0.0,2,1.0,1.0,0.0,0.0,0.0,0.0,5
Ferrari,1,0,0.14285714285714285,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,da,0,0,0.0,2,1.0,1.0,0.0,0.0,0.0,0.0,siyle,0,0,0.0,5,1.5,2.0,0.0,0.0,0.0,0.0,7
CEO,1,1,1.0,3,0.5,2.0,0.0,0.0,0.0,0.0,firari,0,0,0.0,6,1.0,3.0,0.0,0.0,0.0,0.0,su,0,0,0.0,2,1.0,1.0,0.0,0.0,0.0,0.0,6
Mehmet,1,0,0.16666666666666666,6,2.0,2.0,0.0,0.0,0.0,0.0,su,0,0,0.0,2,1.0,1.0,0.0,0.0,0.0,0.0,Aydýn,1,0,0.2,5,1.5,2.0,0.0,0.0,0.0,0.0,10
Aydýn,1,0,0.2,5,1.5,2.0,0.0,0.0,0.0,0.0,Mehmet,1,0,0.16666666666666666,6,2.0,2.0,0.0,0.0,0.0,0.0,olduðu,0,0,0.0,6,1.0,3.0,0.0,0.0,0.0,0.0,10
iddia,0,0,0.0,5,0.6666666666666666,3.0,0.0,0.0,0.0,0.0,olduðu,0,0,0.0,6,1.0,3.0,0.0,0.0,0.0,0.0,ediliyor,0,0,0.0,8,1.0,4.0,0.0,0.0,0.0,0.0,10
Çanakkale,1,0,0.1111111111111111,9,1.25,4.0,0.0,0.0,0.0,0.0,,0,0,0.14055767083280696,5,1.419720736310676,2.117289633584975,0.37562143251703184,0.11306528737941021,0.0007365126127784938,0.00010590836278909673,geçilmez,0,0,0.0,8,1.6666666666666667,3.0,0.0,0.0,0.0,0.0,5
ÇanakkaleZaferi,1,0,0.13333333333333333,15,1.1428571428571428,7.0,0.0,0.0,0.0,0.0,geçilmez,0,0,0.0,8,1.6666666666666667,3.0,0.0,0.0,0.0,0.0,7VZSzRAffq,0,0,0.5,10,8.0,1.0,1.0,0.1,0.0,0.0,9
18,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,,0,0,0.14058355145715476,5,1.4199821468679052,2.117679486214985,0.3756905949977016,0.1130861058819658,0.0007366482254856894,0.00010590836278909675,03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,3
03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,18,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,1850,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,3
1850,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,American,1,0,0.125,8,1.0,4.0,0.0,0.0,0.0,0.0,3
American,1,0,0.125,8,1.0,4.0,0.0,0.0,0.0,0.0,1850,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,Express,1,0,0.14285714285714285,7,2.5,2.0,0.0,0.0,0.0,0.0,7
Express,1,0,0.14285714285714285,7,2.5,2.0,0.0,0.0,0.0,0.0,American,1,0,0.125,8,1.0,4.0,0.0,0.0,0.0,0.0,Henry,1,0,0.2,5,4.0,1.0,0.0,0.0,0.0,0.0,7
Henry,1,0,0.2,5,4.0,1.0,0.0,0.0,0.0,0.0,Express,1,0,0.14285714285714285,7,2.5,2.0,0.0,0.0,0.0,0.0,Wells,1,0,0.2,5,4.0,1.0,0.0,0.0,0.0,0.0,10
Wells,1,0,0.2,5,4.0,1.0,0.0,0.0,0.0,0.0,Henry,1,0,0.2,5,4.0,1.0,0.0,0.0,0.0,0.0,William,1,0,0.14285714285714285,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,10
William,1,0,0.14285714285714285,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,Wells,1,0,0.2,5,4.0,1.0,0.0,0.0,0.0,0.0,Fargo,1,0,0.2,5,1.5,2.0,0.0,0.0,0.0,0.0,10
Fargo,1,0,0.2,5,1.5,2.0,0.0,0.0,0.0,0.0,William,1,0,0.14285714285714285,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,tarafýndan,0,0,0.0,10,1.5,4.0,0.0,0.0,0.0,0.0,10
11,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,,0,0,0.1406094368468541,5,1.420243605558177,2.11806941062784,0.37575977021313106,0.11310692821779383,0.0007367838631630021,0.00010590836278909673,03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,3
03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,11,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,1941,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,3
1941,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,Lend,1,0,0.25,4,3.0,1.0,0.0,0.0,0.0,0.0,3
Lend,1,0,0.25,4,3.0,1.0,0.0,0.0,0.0,0.0,1941,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,Lease,1,0,0.2,5,0.6666666666666666,3.0,0.0,0.0,0.0,0.0,10
Lease,1,0,0.2,5,0.6666666666666666,3.0,0.0,0.0,0.0,0.0,Lend,1,0,0.25,4,3.0,1.0,0.0,0.0,0.0,0.0,Yasasý,1,0,0.16666666666666666,6,1.0,3.0,0.0,0.0,0.0,0.0,10
imzalandý,0,0,0.0,9,1.25,4.0,0.0,0.0,0.0,0.0,Yasasý,1,0,0.16666666666666666,6,1.0,3.0,0.0,0.0,0.0,0.0,,0,0,0.1488107210859494,5,1.5346508725628507,2.187810716258516,0.35463082305284477,0.09702437745155489,0.0012888970723623642,0.00013345169783196258,9
1774,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,Orion,1,0,0.2,5,0.6666666666666666,3.0,0.0,0.0,0.0,0.0,3
Orion,1,0,0.2,5,0.6666666666666666,3.0,0.0,0.0,0.0,0.0,1774,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,Nebulasý,1,0,0.125,8,1.0,4.0,0.0,0.0,0.0,0.0,10
Nebulasý,1,0,0.125,8,1.0,4.0,0.0,0.0,0.0,0.0,Orion,1,0,0.2,5,0.6666666666666666,3.0,0.0,0.0,0.0,0.0,ilk,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,10
William,1,0,0.14285714285714285,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,kez,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,Herschel,1,0,0.125,8,3.0,2.0,0.0,0.0,0.0,0.0,10
Herschel,1,0,0.125,8,3.0,2.0,0.0,0.0,0.0,0.0,William,1,0,0.14285714285714285,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,tarafýndan,0,0,0.0,10,1.5,4.0,0.0,0.0,0.0,0.0,10
gözlemlendi,0,0,0.0,11,1.75,4.0,0.0,0.0,0.0,0.0,tarafýndan,0,0,0.0,10,1.5,4.0,0.0,0.0,0.0,0.0,pOUA4Sqy2c,0,0,0.4,10,1.6666666666666667,3.0,2.0,0.2,0.0,0.0,9
HSBC,1,1,1.0,4,4.0,0.0,0.0,0.0,0.0,0.0,1865,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,Hongkong,1,0,0.125,8,3.0,2.0,0.0,0.0,0.0,0.0,7
Hongkong,1,0,0.125,8,3.0,2.0,0.0,0.0,0.0,0.0,HSBC,1,1,1.0,4,4.0,0.0,0.0,0.0,0.0,0.0,and,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,5
Shanghai,1,0,0.125,8,1.6666666666666667,3.0,0.0,0.0,0.0,0.0,and,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,Banking,1,0,0.14285714285714285,7,2.5,2.0,0.0,0.0,0.0,0.0,5
Banking,1,0,0.14285714285714285,7,2.5,2.0,0.0,0.0,0.0,0.0,Shanghai,1,0,0.125,8,1.6666666666666667,3.0,0.0,0.0,0.0,0.0,Corporation,1,0,0.09090909090909091,11,1.2,5.0,0.0,0.0,0.0,0.0,7
Corporation,1,0,0.09090909090909091,11,1.2,5.0,0.0,0.0,0.0,0.0,Banking,1,0,0.14285714285714285,7,2.5,2.0,0.0,0.0,0.0,0.0,kuruldu,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,7
