doc_id,text
0,"Sosyal medyada hýzla yayýlan videoda, Uruguay'da Ferrari'siyle yanlayan kiþinin Çiftlik Bank'ýn firari CEO'su Mehmet Aydýn olduðu iddia ediliyor! https://t.co/tgsOAqzCd8"
1,"Çanakkale geçilmez!

#ÇanakkaleZaferi https://t.co/7VZSzRAffq"
2,"18/03/1850 - American Express, Henry Wells ve William Fargo tarafýndan kuruldu. https://t.co/Yx91rhyC1e"
3,11/03/1941 - Lend-Lease Yasasý imzalandý.
4,"04/03/1774 - Orion Nebulasý, ilk kez William Herschel tarafýndan gözlemlendi. https://t.co/pOUA4Sqy2c"
5,03/03/1865 - HSBC (Hongkong and Shanghai Banking Corporation) kuruldu. https://t.co/KUdNHJCGGS
6,Dünya Ressamlar Günü https://t.co/HlsGsmYpcs
7,03/03/1915 - NAsA (National Aeronautics and Space Administration) kuruldu. https://t.co/sGVKi2laGP
8,03/03/1923 - Time dergisinin ilk sayýsý yayýmlandý. https://t.co/pkM676plxY
9,"03/03/1875 - Kapalý alanda ilk buz hokeyi, Montreal'de oynandý."
10,"02/03/1962 - Wilt Chamberlain, 100 sayý ile NBA sayý rekorunu kýrdý. https://t.co/P4K2xYxTsy"
11,"02/03/1974 - TRT Televizyonu, çarþamba hariç, haftanýn her günü yayýn yapmaya baþladý."
12,02/03/1995 - Yahoo! kuruldu. https://t.co/XgRob0bvPm
13,"02/03/1969 - Concorde, Fransa'da ilk test uçuþunu yaptý. https://t.co/bNoLaxL1u3"
14,"01/03/1912 - Albert Berry, bir paraþüt ile uçaktan atlayan ilk kiþi oldu. https://t.co/E8DgXUxQk9"
15,"01/03/1896 - Henri Becquerel, radyoaktiviteyi keþfetti."
16,01/03/1872 - Dünyanýn ilk ulusal parký olan Yellowstone Ulusal Parký açýldý. https://t.co/66rKNUMxqz
17,28/02/1856 - Islahat Fermaný ilan edildi.
18,28/02/1937 - Meteoroloji Genel Müdürlüðü kuruldu. https://t.co/1CkYZqVkBQ
19,"28/02/1935 - Wallace Carothers, naylonu keþfetti."
