doc_id,token_id,token_text,c_id
1,1,Sosyal,11
1,2,medyada,11
1,3,hýzla,11
1,4,yayýlan,11
1,5,videoda,11
1,6,Uruguay,5
1,7,da,11
1,8,Ferrari,7
1,9,siyle,11
1,10,yanlayan,11
1,11,kiþinin,11
1,12,Çiftlik,11
1,13,Bank,11
1,14,ýn,11
1,15,firari,11
1,16,CEO,6
1,17,su,11
1,18,Mehmet,10
1,19,Aydýn,10
1,20,olduðu,11
1,21,iddia,10
1,22,ediliyor,11
1,23,tgsOAqzCd8,11
2,1,Çanakkale,5
2,2,geçilmez,11
2,3,ÇanakkaleZaferi,9
2,4,7VZSzRAffq,11
3,1,18,3
3,2,03,3
3,3,1850,3
3,4,American,7
3,5,Express,7
3,6,Henry,10
3,7,Wells,10
3,8,William,10
3,9,Fargo,10
3,10,tarafýndan,11
3,11,kuruldu,11
3,12,Yx91rhyC1e,11
4,1,11,3
4,2,03,3
4,3,1941,3
4,4,Lend,10
4,5,Lease,10
4,6,Yasasý,11
4,7,imzalandý,9
5,1,04,11
5,2,03,11
5,3,1774,3
5,4,Orion,10
5,5,Nebulasý,10
5,6,ilk,11
5,7,kez,11
5,8,William,10
5,9,Herschel,10
5,10,tarafýndan,11
5,11,gözlemlendi,9
5,12,pOUA4Sqy2c,11
6,1,03,11
6,2,1865,11
6,3,HSBC,7
6,4,Hongkong,5
6,5,and,11
6,6,Shanghai,5
6,7,Banking,7
6,8,Corporation,7
6,9,kuruldu,9
6,10,KUdNHJCGGS,11
7,1,Dünya,8
7,2,Ressamlar,6
7,3,Günü,11
7,4,HlsGsmYpcs,11
8,1,03,11
8,2,1915,11
8,3,NAsA,7
8,4,National,7
8,5,Aeronautics,7
8,6,and,11
8,7,Space,7
8,8,Administration,7
8,9,kuruldu,9
8,10,sGVKi2laGP,11
9,1,03,11
9,2,1923,11
9,3,Time,7
9,4,dergisinin,7
9,5,ilk,11
9,6,sayýsý,11
9,7,yayýmlandý,11
9,8,pkM676plxY,11
10,1,03,11
10,2,1875,11
10,3,Kapalý,11
10,4,alanda,11
10,5,ilk,11
10,6,buz,6
10,7,hokeyi,6
10,8,Montreal,8
10,9,de,11
10,10,oynandý,9
11,1,02,11
11,2,03,11
11,3,1962,3
11,4,Wilt,10
11,5,Chamberlain,10
11,6,100,11
11,7,sayý,11
11,8,ile,11
11,9,NBA,7
11,10,rekorunu,9
11,11,kýrdý,9
11,12,P4K2xYxTsy,11
12,1,02,11
12,2,03,11
12,3,1974,11
12,4,TRT,7
12,5,Televizyonu,7
12,6,çarþamba,3
12,7,hariç,11
12,8,haftanýn,3
12,9,her,11
12,10,günü,11
12,11,yayýn,9
12,12,yapmaya,9
12,13,baþladý,9
13,1,02,3
13,2,03,3
13,3,1995,3
13,4,Yahoo,7
13,5,kuruldu,9
13,6,XgRob0bvPm,11
14,1,02,3
14,2,03,3
14,3,1969,3
14,4,Concorde,10
14,5,Fransa,5
14,6,da,11
14,7,ilk,11
14,8,test,9
14,9,uçuþunu,9
14,10,yaptý,9
14,11,bNoLaxL1u3,11
15,1,01,3
15,2,03,3
15,3,1912,3
15,4,Albert,10
15,5,Berry,10
15,6,bir,11
15,7,paraþüt,11
15,8,ile,11
15,9,uçaktan,9
15,10,atlayan,9
15,11,ilk,9
15,12,kiþi,9
15,13,oldu,9
15,14,E8DgXUxQk9,11
16,1,01,11
16,2,03,11
16,3,1896,11
16,4,Henri,11
16,5,Becquerel,11
16,6,radyoaktiviteyi,11
16,7,keþfetti,11
17,1,01,3
17,2,03,11
17,3,1872,3
17,4,Dünyanýn,8
17,5,ilk,11
17,6,ulusal,5
17,7,parký,5
17,8,olan,11
17,9,Yellowstone,8
17,10,Ulusal,8
17,11,Parký,8
17,12,açýldý,11
17,13,66rKNUMxqz,11
18,1,28,11
18,2,02,11
18,3,1856,11
18,4,Islahat,9
18,5,Fermaný,9
18,6,ilan,9
18,7,edildi,9
19,1,28,11
19,2,02,11
19,3,1937,11
19,4,Meteoroloji,7
19,5,Genel,7
19,6,Müdürlüðü,7
19,7,kuruldu,11
19,8,1CkYZqVkBQ,11
20,1,28,3
20,2,02,3
20,3,1935,3
20,4,Wallace,10
20,5,Carothers,10
20,6,naylonu,10
20,7,keþfetti,9
21,1,28,11
21,2,02,11
21,3,1940,11
21,4,Ýlk,11
21,5,kez,11
21,6,bir,11
21,7,basketbol,11
21,8,maçý,11
21,9,ABD,5
21,10,de,11
21,11,televizyondan,9
21,12,naklen,9
21,13,yayýnlandý,9
21,14,kFfo0QZwsU,11
22,1,27,11
22,2,02,11
22,3,1879,11
22,4,Yapay,10
22,5,tatlandýrýcý,10
22,6,sakarin,9
22,7,keþfedildi,9
22,8,2yEU3ACDT7,11
23,1,26,11
23,2,02,11
23,3,1802,11
23,4,Yazar,6
23,5,Victor,10
23,6,Hugo,10
23,7,Fransa,5
23,8,da,11
23,9,doðdu,11
23,10,ö,11
23,11,1885,11
23,12,dzjvCieECY,11
24,1,06,11
24,2,02,11
24,3,1910,11
24,4,Ýstanbul,5
24,5,da,11
24,6,ilk,11
24,7,solcu,11
24,8,gazete,11
24,9,Ýþtirak,7
24,10,yayýmlanmaya,11
24,11,baþladý,11
24,12,Gazete,10
24,13,Hüseyin,10
24,14,Hilmi,10
24,15,tarafýndan,11
24,16,çýkarýldý,11
24,17,2JTgabZopU,11
25,1,26,11
25,2,02,11
25,3,1848,11
25,4,Fransa,5
25,5,da,11
25,6,ikinci,11
25,7,cumhuriyet,9
25,8,ilan,9
25,9,edildi,9
26,1,25,11
26,2,02,11
26,3,1933,11
26,4,Uçak,10
26,5,gemisi,10
26,6,olarak,11
26,7,imal,11
26,8,edilen,11
26,9,ilk,11
26,10,ABD,5
26,11,donanma,11
26,12,USS,7
26,13,Ranger,11
26,14,denize,10
26,15,indirildi,11
27,1,25,11
27,2,02,11
27,3,1907,11
27,4,Yazar,6
27,5,Sabahattin,10
27,6,Ali,10
27,7,Bulgaristan,5
27,8,da,11
27,9,doðdu,11
27,10,ö,11
27,11,1948,11
27,12,TC2O2hQjNs,11
28,1,25,11
28,2,02,11
28,3,1932,11
28,4,Adolf,10
28,5,Hitler,10
28,6,Alman,10
28,7,vatandaþlýðýna,11
28,8,kabul,11
28,9,edildi,11
29,1,25,11
29,2,02,11
29,3,1836,11
29,4,Samuel,10
29,5,Colt,7
29,6,ürettiði,11
29,7,silahýn,10
29,8,tabanca,10
29,9,patentini,10
29,10,aldý,11
30,1,29,3
30,2,12,3
30,3,1941,3
30,4,NBC,7
30,5,Türkçe,10
30,6,radyo,11
30,7,yayýnýna,11
30,8,baþladý,11
31,1,18,3
31,2,12,3
31,3,1865,3
31,4,ABD,8
31,5,de,11
31,6,kölelik,11
31,7,kaldýrýldý,9
32,1,30,11
32,2,10,11
32,3,1973,11
32,4,Boðaziçi,8
32,5,Köprüsü,8
32,6,Cumhurbaþkaný,6
32,7,Fahri,10
32,8,Korutürk,10
32,9,tarafýndan,11
32,10,açýldý,11
33,1,21,3
33,2,10,3
33,3,1860,3
33,4,Ýlk,11
33,5,özel,11
33,6,siyasi,11
33,7,gazete,6
33,8,Tercümaný,9
33,9,Ahval,9
33,10,çýkmaya,9
33,11,baþladý,9
34,1,03,3
34,2,10,3
34,3,1931,3
34,4,Türkiye,9
34,5,Cumhuriyet,9
34,6,Merkez,9
34,7,Bankasý,9
34,8,faaliyete,9
34,9,geçti,11
35,1,30,11
35,2,09,11
35,3,1964,11
35,4,Oyuncu,6
35,5,eski,11
35,6,model,11
35,7,Monica,10
35,8,Belluci,10
35,9,Ýtalya,5
35,10,da,11
35,11,doðdu,11
35,12,WV0LmPZJ93,11
36,1,16,11
36,2,09,11
36,3,1953,11
36,4,Ýlk,9
36,5,sinemaskop,9
36,6,film,9
36,7,gösterimi,9
36,8,New,5
36,9,York,5
36,10,ta,11
36,11,yapýldý,9
37,1,14,3
37,2,09,3
37,3,1944,3
37,4,Radyo,10
37,5,istasyonlarýnýn,11
37,6,kurulmasý,11
37,7,geniþletilmesi,11
37,8,yasasý,11
37,9,çýktý,11
38,1,30,3
38,2,08,3
38,3,1952,3
38,4,Erzurum,5
38,5,da,11
38,6,Aziziye,9
38,7,Anýtý,9
38,8,açýldý,9
39,1,27,3
39,2,08,3
39,3,1859,3
39,4,Dünyanýn,9
39,5,ilk,9
39,6,petrol,9
39,7,kuyusu,9
39,8,ABD,5
39,9,nin,5
39,10,Pensilvanya,5
